,Precision,Precision,Recall,Recall,F1,F1
Speaker,Speaker A,Speaker B,Speaker A,Speaker B,Speaker A,Speaker B
Y_Label_Simplified,,,,,,
Ideal,0.7585,0.7987,0.7512,0.7778,0.7548,0.7881
Whisper -55dBFS,0.77,0.8521,0.7599,0.8511,0.7649,0.8516
Whisper -50dBFS,0.7762,0.8291,0.7697,0.8487,0.7729,0.8388
Whisper -45dBFS,0.83,0.7777,0.825,0.7642,0.8275,0.7709
Whisper -40dBFS,0.7658,0.7828,0.7601,0.759,0.7629,0.7707
Equal,0.7324,0.766,0.6754,0.7121,0.7028,0.7381
Overpowered,0.7092,0.7458,0.6732,0.6752,0.6907,0.7087
